TARGET                                        SOURCE                     FSTYPE      OPTIONS
/                                             /dev/nvme0n1p2             ext4        rw,relatime
├─/dev                                        devtmpfs                   devtmpfs    rw,nosuid,size=807860k,nr_inodes=2004702,mode=755,inode64,huge=within_size
│ ├─/dev/hugepages                            hugetlbfs                  hugetlbfs   rw,nosuid,nodev,relatime,pagesize=2M
│ ├─/dev/mqueue                               mqueue                     mqueue      rw,nosuid,nodev,noexec,relatime
│ ├─/dev/pts                                  devpts                     devpts      rw,nosuid,noexec,relatime,gid=3,mode=620,ptmxmode=666
│ └─/dev/shm                                  tmpfs                      tmpfs       rw,nosuid,nodev,size=8078564k,inode64,huge=within_size
├─/run                                        tmpfs                      tmpfs       rw,nosuid,nodev,size=4039284k,nr_inodes=819200,mode=755,inode64,huge=within_size
│ ├─/run/credentials/systemd-journald.service none                       tmpfs       ro,nosuid,nodev,noexec,relatime,nosymfollow,size=1024k,nr_inodes=1024,mode=700,inode64,huge=within_size,noswap
│ ├─/run/keys                                 ramfs                      ramfs       rw,nosuid,nodev,relatime,mode=750
│ ├─/run/wrappers                             tmpfs                      tmpfs       rw,nodev,relatime,size=8078564k,mode=755,inode64,huge=within_size
│ └─/run/user/1000                            tmpfs                      tmpfs       rw,nosuid,nodev,relatime,size=1615712k,nr_inodes=403928,mode=700,uid=1000,gid=100,inode64,huge=within_size
│   └─/run/user/1000/doc                      portal                     fuse.portal rw,nosuid,nodev,relatime,user_id=1000,group_id=100
├─/proc                                       proc                       proc        rw,nosuid,nodev,noexec,relatime
├─/sys                                        sysfs                      sysfs       rw,nosuid,nodev,noexec,relatime
│ ├─/sys/kernel/security                      securityfs                 securityfs  rw,nosuid,nodev,noexec,relatime
│ ├─/sys/fs/cgroup                            cgroup2                    cgroup2     rw,nosuid,nodev,noexec,relatime,nsdelegate,memory_recursiveprot,memory_hugetlb_accounting
│ ├─/sys/fs/pstore                            none                       pstore      rw,nosuid,nodev,noexec,relatime
│ ├─/sys/firmware/efi/efivars                 efivarfs                   efivarfs    rw,nosuid,nodev,noexec,relatime
│ ├─/sys/fs/bpf                               bpf                        bpf         rw,nosuid,nodev,noexec,relatime,mode=700
│ ├─/sys/kernel/tracing                       tracefs                    tracefs     rw,nosuid,nodev,noexec,relatime
│ ├─/sys/kernel/config                        configfs                   configfs    rw,nosuid,nodev,noexec,relatime
│ ├─/sys/kernel/debug                         debugfs                    debugfs     rw,nosuid,nodev,noexec,relatime
│ └─/sys/fs/fuse/connections                  fusectl                    fusectl     rw,nosuid,nodev,noexec,relatime
├─/nix/store                                  /dev/nvme0n1p2[/nix/store] ext4        ro,nosuid,nodev,relatime
├─/boot                                       /dev/nvme0n1p1             vfat        rw,relatime,fmask=0077,dmask=0077,codepage=437,iocharset=ascii,shortname=mixed,utf8,errors=remount-ro
├─/home                                       /dev/nvme0n1p3             xfs         rw,relatime,inode64,logbufs=8,logbsize=32k,noquota
└─/media/mochafast                            /dev/sdb1                  xfs         rw,relatime,inode64,logbufs=8,logbsize=32k,noquota
